RecordNumber,Company_Name,Address,Phone,FAX,Notes,Website
1,Alfa Insurance,"P.O. Box 11000 Montgomery, AL 36191-0001",334-288-3900,,,
2,"BuyFilters.com, LLC","P.O. Box 581 Silverhill, AL 36576",866-863-1262,,,
3,Compass Marketing Inc,"175 Northshore Pl Gulf Shores, AL 36542",251-968-4600,251-968-5938 fax,,
4,Hatchett & Fagan Direct,"950 22nd Street North Suite 700 Birmingham, AL 35203-1128",205-458-8200,205-458-8206 fax,,
5,Medseek,"3000 Riverchase Galleria, Ste 1500 Birmingham, AL 35244",205-982-5800,,,
6,"Priester Pecan Company, Inc.","208 E. Old Fort Road Fort Deposit, AL 36032-4012",334-227-4301,,,
7,RayPress Corporation,"380 Riverchase Pkwy E Birmingham, AL 35244-1813",205-492-2414,205-989-7203 fax,,
8,Southern Poverty Law Center,"400 Washington Ave. Montgomery, AL 36104-4344",334-956-8200,,,
9,Winston and Winston Attorneys At Law,"1800 12th Ave S Birmingham, AL 35205-4812",205-933-2300,205-933-2321 fax,,
10,Acxiom Corporation,"601 E Third St. Little Rock, AR 72201",888-322-9466,501-252-1854 fax,...ARE YOU GETTING THE MOST OUT OF YOUR CUSTOMER INFORMATION? Many customer relationship solutions fail because companies do...,http://www.acxiom.com
11,The Heritage Company,"2402 Wildwood Ave. Ste. 500 North Little Rock, AR 72120-5094",501-835-5000,501-835-3828 fax,"...The Heritage Company is a full service agency specializing in residential donor reactivation and acquisition campaigns, business-to-business tele-fundraising, integrated phone-mail...",http://www.theheritagecompany.com
12,"Mays Mission for the Handicapped, Inc.","604 Colonial Dr Heber Springs, AR 72543-3425",501-362-7526,,,
13,"Wal-Mart Stores, Inc.","Division 1 - Legal 702 Southwest 8th Street Bentonville, AR 72716-0001",479-277-8402,,,
14,Higher Power Marketing,"P.O. Box 71250 Phoenix, AZ 85050",480-584-3535,480-907-1840 fax,"...Who We ArePer Inquiry Advertising Agency Higher Power Marketing (HPM) is one of the country's leading Per Inquiry Advertising agencies...",http://www.hpowermarketing.com
15,IMPACT International Marketing,"151 Riviera Dr., Bldg. B, Ste. #202 Lake Havasu City, AZ 86403",866-389-9798,866-291-3908 fax,"...Impact offers brand name merchandise (including off brand & closeouts), digital rewards, referral solutions, sweepstakes and games, travel incentives and...",http://www.iimgroup.com
16,IPM Advancement,"2340 E Beardsley Rd Suite 100 Phoenix, AZ 85024",623-687-3990,602-391-2830 fax,"...IPM Advancement is a direct marketing agency providing local and national nonprofit organizations with Fundraising, Membership, and Advocacy solutions integrating...",http://www.IPMAdvancement.com
17,"Laven & Loeb, Inc.","6501 E. Greenway Pkwy. Ste. 103-405 Scottsdale, AZ 85254",480-998-7360,216-291-8953 fax,"...Laven & Loeb, Inc., is a well-established ""boutique"" search firm headquartered in Phoenix, Arizona with an office in Cleveland, Ohio....",http://www.lavenandloeb.com
18,OnTrac,"3401 E. Harbour Dr. Phoenix, AZ 85034",800-334-5000,,"...OnTrac is proud to be the leader in regional overnight package delivery. Founded in 1991, as a division of...",http://ontrac.com
19,Alliance Defense Fund,"15100 N 90th St Scottsdale, AZ 85260-2901",480-444-0020,,,
20,"Best Mailing Lists, Inc.","7507 East Tanque Verde Road Tucson, AZ 85715-3636",520-885-0400,520-885-3100 fax,,
21,Casino Arizona,"PO Box 10099 Scottsdale, AZ 85271",480-850-7884,,,
22,Community Food Bank,"3003 S. Country Club Rd. P.O. Box 26727 Tucson, AZ 85726-6727",520-622-0525,,,
23,Direct Alliance Corporation,"8123 S Hardy Tempe, AZ 85284",800-535-0343,480-902-5920 fax,,
24,"Direct Response Enhancements, LLC","12772 East Sunnyside Drive Scottsdale, AZ 85259-3438",480-451-7384,480-661-8460 fax,,
25,DirectROI,"3100 W Ray Rd Suite 300 Chandler, AZ 85226",480-632-6688,480-632-6690 fax,,
26,DMB Realty Network,"20789 N. Pima Road Suite 250 Scottsdale, AZ 85255-9154",480-515-0148,,,
27,EPrintwerx/Leads Please,"PO Box 12634 Scottsdale, AZ 85267-2634",866-204-4596,775-201-3423 fax,,
28,Food for the Hungry,"1224 E. Washington St. Phoenix, AZ 85034-1365",480-998-3100,,,
29,iCrossing,"15169 N. Scottsdale Road Suite C-400 Scottsdale, AZ 85260",480-505-5800,,,
30,LPL,"Po Box 15610 Scottsdale, AZ 85267-5610",480-473-3767,,,
31,Make-A-Wish Foundation® of America,"4742 N. 24th Street Suite 400 Phoenix, AZ 85016",602-279-9474,,,
32,Maricopa County,"2411 West 14th Street Room 145 Tempe, AZ 85281",480-731-8948,,,
33,Medicx Media Solutions,"9364 East Raintree Drive Suite 101 Scottsdale, AZ 85260-2200",480-614-0060,,,
34,Muscular Dystrophy Association,"3300 E Sunrise Dr Tucson, AZ 85718-3299",520-529-2000,,,
35,Naturmed DBA-Insititute of Vibrant Living,"PO Box 1270 Camp Verde, AZ 86322",928-567-5175,,,
36,Nutri-Health Supplements,"260 Justin Drive Cottonwood, AZ 86326",928-340-5400,,,
37,Sir Speedy Printing & Marketing,"1961 Commerce Center Circle Prescott, AZ 86301",928-776-4332,928-776-4465 fax,,
38,"Smith Browning Direct, Inc.","45 Camielle Court Sedona, AZ 86336-5977",928-203-9420,,,
39,SPExpress,"6874 S. Palo Verde Road, Ste. 160 Tucson, AZ 85756, AZ 85756",520-573-1100,,,
40,Anderson Direct Marketing,"12650 Danielson Court Poway, CA 92064-6822",888-694-5094,858-413-0220 fax,"...Anderson Direct Marketing is a full-service direct marketing agency offering strategy, creative development, account management, media planning and analytics services....",http://www.andersonDM.com
41,Carney Direct Marketing,"15520 Rockfield Blvd. Ste. C Irvine, CA 92618-2792",949-581-5100,949-581-4564 fax,"...Whether you are looking for a list broker, list manager, database marketing or data processing professional, Carney Direct Marketing's experienced...",http://www.carneydirect.com
42,CoreLogic,"4 First American Way Santa Ana, CA 92707",866.774.3282,,"...ListSource, from CoreLogic is your source for property, homeowner and demographic based leads. Create highly targeted homeowner direct marketing lead...",http://www.listsource.com
43,Creative Lift,"115 Sansome Street San Francisco, CA 94104-4508",415-248-3174,415-398-0144 fax,"...We are a ""Results Agency"" based in San Francisco that is dedicated to producing top performing creative and strategy for...",http://www.creativelift.net
44,"Database Marketing Group, Inc.","5 Peters Canyon Road Suite 150 Irvine, CA 92606",714-727-0800,714.838.0327 fax,"...Our Mission: To make mail work better by anticipating our client's marketing challenges and opportunities, developing innovative and cost effective...",http://www.dbmgroup.com
45,Dial800,"9911 W. Pico Blvd Suite 1200 Los Angeles, CA 90035",310-273-9023,800-FAX-LINE fax,...Dial 800 empowers direct marketers and agencies with powerful tools that optimize conversion and sales. Youll have unparalleled insight into...,http://www.dial800.com
46,Direct Marketing Partners,"2045 Hallmark Drive Suite 5 Sacramento, CA 95825",916-974-6969,916-974-6974 fax,"...Direct Marketing Partners (DMP) is a leading B2B marketing service provider, specializing in the IT industry with a sub-specialty of...",http://www.directmarketingpartners.com
47,DMRA,"201 San Antonio Circle Suite 280 Mountian View, CA 94040",650-559-9988,650-559-0149 fax,...DMRA is an established database marketing vendor/partner that utilizes sophisticated database techniques and complete U.S. household and population demographics to...,http://www.dmrainc.com
48,Healthcare Data Solutions,"26741 Portola Parkway 1E646 Foothill Ranch, CA 92610",949-614-0080,949-421-5977 fax,...HDS provides accurate healthcare databases and healthcare industry business intelligence services. HDS provides clients with superior and accurate data and...,http://www.healthcaredatasolutions.com
49,iLoop Mobile,"25 Metro Dr. Suite 210 San Jose, CA 95110",408-907-3360,408-824-1398 fax,"...iLoop Mobile's mobile marketing solutions, professional services and training enable the most successful brands, direct marketing agencies, ad agencies and...",http://www.Iloopmobile.Com
50,interTrend Communications Inc,"555 E. Ocean Blvd. 9th Floor Long Beach, CA 90802",562-733-1778,562 733 1889 fax,"...About UsinterTrend Communications Inc. is an award winning full-service communication agency based in Long Beach, California. We help corporate America...",http://www.intertrend.com
51,"iVision Mobile, Inc.","9566 Topanga Canyon Blvd Chatsworth, CA 91311",866-655-5302,,...Mobile Marketing and Text Messaging Made Easy FREE MOBILE MARKETING WHITE PAPER...,http://www.ivisionmobile.com
52,"MarketLive, Inc.","625 Second Street Suite 100 Petaluma, CA 94952",877-341-5729,707-769-2661 fax,"...Since 1995, MarketLive, Inc. has provided enterprise-class eCommerce retail technology and services that help fast-growing companies successfully...",http://www.marketlive.com
53,Melissa Data Corp.,"22382 Avenida Empresa Rancho Santa Margarita, CA 92688",949-858-3000,949-589-5211 fax,"...Since 1985 Melissa Data has been providing data quality and mailing solutions for direct marketers. Well help you clean, verify...",http://www.melissadata.com
